nume_actiune,timestamp
READ_ALL_CLIENTS,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_CLIENTS,2025-05-19 22:36:05
READ_ALL_CLIENTS,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_PRODUSE,2025-05-19 22:36:05
READ_ALL_PRODUSE,2025-05-19 22:36:05
READ_ALL_FACTURI,2025-05-19 22:36:05
READ_ALL_COMENZI,2025-05-19 22:36:05
READ_ALL_PRODUSE,2025-05-19 22:36:05
READ_ALL_PRODUSE,2025-05-19 22:36:05
READ_ALL_CLIENTS,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_CLIENTS,2025-05-19 22:36:52
CREATE_PRODUS,2025-05-19 22:36:52
CREATE_PRODUS,2025-05-19 22:36:52
CREATE_PRODUS,2025-05-19 22:36:52
CREATE_CLIENT,2025-05-19 22:36:52
READ_ALL_CLIENTS,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
CREATE_CLIENT,2025-05-19 22:36:52
READ_ALL_CLIENTS,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_CLIENTS,2025-05-19 22:36:52
READ_ALL_CLIENTS,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_PRODUSE,2025-05-19 22:36:52
READ_ALL_PRODUSE,2025-05-19 22:36:52
READ_ALL_FACTURI,2025-05-19 22:36:52
READ_ALL_COMENZI,2025-05-19 22:36:52
READ_ALL_PRODUSE,2025-05-19 22:36:52
READ_ALL_PRODUSE,2025-05-19 22:36:52
Database connection established,2025-05-19 22:37:38
READ_ALL_CLIENTS,2025-05-19 22:37:38
